ID,Smiles
ZINC00838941,NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C(F)F)cc1
ZINC00839537,Cc1ccc(CNc2nc3c(c(=O)[nH]c(=O)n3C)n2Cc2cccc(C)c2)cc1
ZINC00851641,CC1=C(C(=O)OC(C)(C)C)C(c2ccccc2)C(C(=O)OC(C)(C)C)=C(C)N1
ZINC00860663,COc1ccc(-c2nc(-c3cccs3)[nH]c2-c2ccc(OC)cc2)cc1
ZINC00887294,O=S(=O)(Nc1ccccn1)c1ccc(I)cc1
ZINC00896342,COc1ccc2c(c1OC)C[NH+](C)CCc1cc3c(cc1C(O)C2)OCO3
ZINC00896650,C[NH+]1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21
ZINC00896755,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C
ZINC00896849,CCC(=O)c1ccc2c(c1)N(CC(C)[NH+](C)C)c1ccccc1S2
ZINC00897222,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O
ZINC00898217,Cc1ccnc([N-]S(=O)(=O)c2ccc(NS(=O)(=O)c3ccccc3)cc2)n1
ZINC00900710,COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1
ZINC00938373,CC[NH+](CC)CC(O)COc1ccc(C(C)(C)CC)cc1C(C)(C)CC
ZINC00952275,Cc1cc(=O)oc2cc(OCc3c(Cl)ccc(Cl)c3Cl)ccc12
ZINC00957089,CCOc1ccc(OCC(=O)N(C2CCCCC2)C2CCCCC2)cc1
ZINC00958855,CCc1cccc(CC)c1NC(=O)Cn1nnc2sc3c(c2c1=O)CCCC3
ZINC00967787,Cc1c(F)c(N2CC[NH2+]C(C)C2)cc2c1c(=O)c(C(=O)[O-])cn2C1CC1
ZINC00968335,Cc1ccc(O)c(C(CC[NH+](C(C)C)C(C)C)c2ccccc2)c1
ZINC00971555,C[NH+]1CCCC1CCOC1c2ccccc2CCc2ccccc21
ZINC00974015,CCOc1ccc(C2(Cc3ccccc3)C(=O)c3ccccc3C2=O)cc1
ZINC00975012,O=C(Nc1ccc2ccc3cccc4ccc1c2c34)c1ccccc1
ZINC00978648,Cc1c(C[NH+](C)C)c2c(n1Cc1ccccc1)C(=O)c1ccc(Br)cc1-2
ZINC00986709,COc1cc2ccccc2cc1C(=O)Oc1ccc2ccccc2c1
ZINC00987819,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC2CCCCC2)c1
ZINC01017885,N#Cc1c(-c2ccccc2)cc(-c2cc(Br)ccc2O)nc1[O-]
ZINC01036943,C=C(c1ccc(OC)c(OC)c1)c1nccc2cc(OC)c(OC)cc12
ZINC01043849,CCOC(=O)c1c(C)nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c1C
ZINC01047087,O=S(=O)([N-]c1cc(-c2cccs2)nn1-c1ccc(F)cc1)c1cccc(F)c1
ZINC01050266,COC(=O)c1ccc(COc2cc(O)c3c(c2)OC(C)(C)CC3=O)cc1
ZINC01055673,CCC(C(=O)Nc1sc2c(c1C(N)=O)CCC2)c1ccccc1
